No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
2,xe2,Gig 1,CSR1000V,xe1.helena.gg,Gig 6,CSR1000V,R I
2,xe2,Gig 1,CSR1000V,xe5,Gig 1,CSR1000V,R I
2,xe2,Gig 1,CSR1000V,xe4,Gig 1,CSR1000V,R I
2,xe2,Gig 1,CSR1000V,xe3,Gig 1,CSR1000V,R I
2,xe2,Gig 1,CSR1000V,UCSM-A(SSI17360D2Y),Vethernet867,UCS-FI-62,S I C
2,xe2,Gig 1,CSR1000V,xr1,9 Gig 0/0/0/0,IOS-XRv,R
1,xe1,Gig 6,CSR1000V,xe5,Gig 1,CSR1000V,R I
1,xe1,Gig 6,CSR1000V,xe4,Gig 1,CSR1000V,R I
1,xe1,Gig 6,CSR1000V,xe3,Gig 1,CSR1000V,R I
1,xe1,Gig 6,CSR1000V,xe2,Gig 1,CSR1000V,R I
1,xe1,Gig 6,CSR1000V,UCSM-A(SSI17360D2Y),Vethernet867,UCS-FI-62,S I C
1,xe1,Gig 6,CSR1000V,xr1,9 Gig 0/0/0/0,IOS-XRv,R
3,xr1,Gi0/0/0/0,R-IOSXRV9000-LC-C,xe3,Gi1,CSR1000V,R I
3,xr1,Gi0/0/0/0,R-IOSXRV9000-LC-C,xe2,Gi1,CSR1000V,R I
3,xr1,Gi0/0/0/0,R-IOSXRV9000-LC-C,xe5,Gi1,CSR1000V,R I
3,xr1,Gi0/0/0/0,R-IOSXRV9000-LC-C,xe4,Gi1,CSR1000V,R I
3,xr1,Gi0/0/0/0,R-IOSXRV9000-LC-C,xe1.helena.gg,Gi6,CSR1000V,R I
